Article IDs,Titles,Links,Contents,Gold Labels
0,سدھو موسے والا کے والدین نے اپنے چھوٹے بیٹے کا چہرا دکھا دیا08 نومبر ، 2024,https://urdu.geo.tv/latest/386103-,بھارت: پنجاب سے تعلق رکھنے والے معروف آنجہانی گلوکار سدھو موسے والا کے والدین نے اپنے چھوٹے بیٹے کا چہرا دکھا دیا۔ بھارتی میڈیا کے مطابق  آنجہانی گلوکار سدھو موسے والا کے والدین نے اپنے چھوٹے بیٹے کا چہرا سوشل میڈیا پلیٹ فارم انسٹاگرام پر سدھو موسے والا کے اکاؤنٹ پر دکھایا۔ سدھو کے والدین کی جانب سے اپنے سب سے چھوٹے بیٹے کا نام شبھدیپ رکھا گیا ہے، تصویر میں بچے کو ہلکے گلابی رنگ کی پگڑی پہنے دیکھا جاسکتا ہے۔ میڈیا رپورٹس کے مطابق  رواں سال مارچ میں سدھو موسے والا کے 60 سالہ والد بلکور سنگھ اور ان کی 58 سالہ اہلیہ چرن کور کے ہاں بیٹے کی پیدائش ہوئی تھی۔ واضح رہے کہ سدھو موسے والا کا اصل نام شبھدیپ سنگھ  تھا جنہیں 29 مئی 2022 کو ضلع مانسا کے گاؤں جواہر میں نامعلوم حملہ آوروں نے فائرنگ کرکے قتل کر دیا تھا۔ اس واقعے میں سدھو کی گاڑی پر 30 گولیاں برسائی گئی تھیں جس کے نتیجے میں سدھو موسے والا موقع پر ہی ہلاک ہوگئے تھے جب کہ ان کی گاڑی میں موجود 2 افراد شدید زخمی ہوئے تھے۔ سدھو موسے والا نے اپنے گانے خود لکھے اور تیار کیے جب کہ انہیں پنجابی کے امیر ترین گلوکاروں میں شمار کیا جاتا تھا۔,entertainment
1,گانے میں لارنس بشنوئی کا نام، گینگسٹر کا ایک بار پھر سلمان خان کو پیغام08 نومبر ، 2024,https://urdu.geo.tv/latest/386086-,بھارت کے بدنام زمانہ گینگ لارنس بشنوئی نے ایک بار پھر بالی وڈ سپر اسٹار سلمان خان کے نام پیغام جاری کردیا۔ بھارتی میڈیا کے مطابق ممبئی ٹریفک کنٹرول روم کو جمعرات کو  رات گئے دھمکی آمیز پیغام ملا جس میں ایک گانے کا حوالہ دیا گیا تھا، گانے میں مبینہ طور پر سلمان خان اور گینگسٹر لارنس بشنوئی دونوں کا نام لیا گیا تھا۔ میڈیا رپورٹس میں بتایا گیا ہے کہ پیغام میں گانا لکھنے والے سانگ رائٹر کو دھمکی دی گئی کہ ایک ماہ کے اندر سخت نتائج کا سامنا کرنا پڑے گا۔ دھمکی آمیز پیغام میں لکھا گیا کہ ’گانا لکھنے والے کی حالت ایسی ہو جائے گی کہ وہ اب گانے نہیں لکھ سکے گا، اگر سلمان خان میں ہمت ہے تو انہیں بچالیں‘۔ واضح رہے کہ لارنس بشنوئی گینگ کی جانب سے سلمان خان کو متعدد بار جان سے مارنے اور کروڑوں روپے تاوان کی دھمکیاں دی جاچکی ہیں جبکہ سلمان خان کے قریبی دوست و سیاست دان بابا صدیق کو بھی لارنس بشنوئی گینگ نے قتل کیا۔,entertainment
2,وہ کریں جو آپ کی بیگم کہتی ہے: فلک شبیر کا شوہروں کو مشورہ08 نومبر ، 2024,https://urdu.geo.tv/latest/386083-,اداکارہ سارہ خان کے شوہر گلوکار فلک شبیر نے شوہروں کو خوش رہنے کیلئے بیگم  کی  بات پر عمل کرنے کا مشورہ دے دیا۔ فلک شبیر اور سارہ خان نے جولائی 2020 میں شادی کی تھی اور دونوں کی اب ایک بیٹی عالیانہ فلک ہے۔ فلک شبیر  سارہ خان سے محبت اور اس  کے اظہار کے نت نئے طریقوں کی خاطر مداحوں میں خاصے مقبول ہیں، وہ اکثرو بیشتر اہلیہ سے اپنی محبت کا اظہار کرنے کے لیے خوبصورت تحائف دیتے ہیں جس کی ویڈیوز بھی سامنے آتی رہتی ہیں۔ حال ہی میں فلک شبیر نے انسٹاگرام پر ایک اسٹوری شیئر کرتے ہوئے شوہروں کو خوش رہنے کیلئے ایک نرالا مشورہ دیا ہے۔ انسٹاگرام پر شیئر گلوکار فلک شبیر کی اسٹوری پر درج تھا کہ’ اگر آپ خوش رہنا چاہتے ہیں تو پہلے اپنے دل کی سنیں اور پھر دماغ کی سنیں، پھر اچھی طرح غوروفکر کرنے کے بعد وہ کریں جو آپ کی بیگم کہتی ہے‘۔ یاد رہے کہ رواں برس ہی فلک شبیر نے اداکارہ سارہ خان اور بیٹی عالیانہ فلک کو  فارم ہاؤس اور مرسڈیز بینز تحفے میں دی ہے۔,entertainment
3,سلمان کے بعد شاہ رخ خان کو بھی جان سے مارنےکی دھمکی07 نومبر ، 2024,https://urdu.geo.tv/latest/385991-,ممبئی: بالی وڈ اداکار سلمان خان کے بعد  اب کنگ  خان کہلائے جانے  والے شاہ رخ  خان کو  بھی جان سے مارنےکی دھمکی ملی ہے۔ بھارت میڈیا کے مطابق ممبئی کے  باندرا پولیس اسٹیشن میں ایک کال موصول ہوئی اور فون کرنے والے نے شاہ رخ خان سے 50 لاکھ تاوان مانگا جب کہ عدم ادائیگی کی صورت میں بالی وڈ خان کو نقصان پہنچانے کی دھمکی دی۔ رپورٹ کے مطابق پولیس کو موصول فون ریاست چھتیس گڑھ کے شہر رائے پور سے کیا گیا اور ٹریس کرنے کے بعد نمبر ایک فیضان نامی شخص کا نکلا مگر مبینہ ملزم نے کہا ہے کہ اس کا فون 2 نومبر کو چوری ہوگیا تھا۔ بھارتی میڈیاکےمطابق شاہ رخ خان سے متعلق دھمکی آمیز کال موصول ہونے کا مقدمہ باندرا پولیس اسٹیشن میں درج کرلیا گیا ہے اور مزید تحقیقات جاری ہیں۔ ریاست مہاراشٹرا کی حکومت نے شاہ رخ خان کو +Y کیٹیگری کی سکیورٹی فراہم کردی ہے۔ واضح رہے گزشتہ سال اکتوبر میں فلم ’پٹھان‘ اور ’جوان‘ کی کامیابی کے بعد بھی  شاہ رخ کو جان سے مارنے کی دھمکیاں ملی تھیں جس کے بعد انھیں وائی پلس سکیورٹی دی گئی تھی۔ دوسری جانب سلمان خان کو دھمکی دینے والا لارنس بشنوئی کا بھائی کرناٹک سے گرفتار کرلیاگیا۔ بھارتی میڈیا کےمطابق ممبئی پولیس ٹریفک کنٹرول کو 5 نومبر کو سلمان خان کے لیے دھمکی آمیزپیغام موصول ہواتھا جس میں سلمان خان سے 5کروڑ روپےطلب کیے گئے تھے اور عدم ادائیگی کی صورت میں قتل کرنے کی دھمکی دی گئی تھی۔,entertainment
4,برطانوی پارلیمنٹ نے ماہرہ خان کو لائف ٹائم اچیومنٹ ایوارڈ سے نواز دیا07 نومبر ، 2024,https://urdu.geo.tv/latest/385956-,برطانیہ کی پارلیمنٹ نے اداکارہ ماہرہ خان کو فنی اور خواتین کو بااختیار بنانے کیلئے خدمات پر ایوارڈ سے نواز دیا۔ اداکارہ ماہرہ خان کی انٹرٹینمنٹ انڈسٹری اور خواتین کو با اختیار بنانے کیلئے کی جانے والی کاوشوں کو برطانیہ کی پارلیمنٹ کی جانب سے سراہا گیا ہے اور انہیں پارلیمنٹ میں لائف ٹائم اچیومنٹ ایوارڈ سے نواز دیا گیا۔ اس حوالے سے اداکارہ نے کہا کہ اپنی تعریف پر خوش ہوتی ہوں لیکن سیلف میڈ کہلانا پسند نہیں، میری کامیابی میں والدین، ٹیچرز، مینٹور، ساتھیوں اور مداحوں کا بڑا کردار ہے۔ اداکارہ کا کہنا تھاکہ والدین ورکنگ پیرنٹس تھے، والدہ ٹیچر اور والد بینکر تھے جنہوں نے بچوں کو اعلیٰ تعلیم دلانے پر پوری توجہ دی، کالج گئی تو آسان وقت نہیں تھا، دو ملازمت کرتی اور اپنے بل خود ادا کرتی تھی۔ ماہرہ خان نے مزید کہا کہ جب میں کہتی تھی کہ فلم اسٹار بنوں گی تو لوگ مجھ پر ہنستے تھے، انڈسٹری میں کام کرنا آسان نہیں تھا لیکن پھر جدوجہد کے بعد کامیابی بھی ملی، خاندان کی پہلی لڑکی تھی جس نے بیرون ملک اکیلے سفر کیا۔ انڈسٹری کے حوالے سے بات کرتے ہوئے انہوں نے کہا کہ پاکستان کی شو بز انڈسٹری نے گزشتہ چند برسوں میں نمایاں ترقی کی ہے، خواتین کو بااختیار بنانے کیلئے میری خدمات پر ایوارڈ سے نوازے جانے پر بہت خوش ہوں، ہمارا انتخاب ہوا ہے تو ہمیں اس کے مطابق کام کرنا چاہیے، لڑکیوں کو ان کے خواب پورے کرنے میں مدد کرنی چاہیے۔ ماہرہ کا کہنا تھا کہ لڑکیوں سے برتاؤ سے متعلق والد، شوہر، لڑکوں اور تمام مردوں کو بتانا چاہیے، میرے بھائی نے خاموشی سے میری زندگی کی کامیابی میں اہم کردار ادا کیا۔ اس موقع پر تقریب کے منتظم افضل خان ایم پی نے اپنے خیالات کا اظہار کرتے ہوئے کہا کہ ماہرہ خان کی کامیابی دیگر خواتین کیلئے مشعل راہ ہے۔ اداکارہ ماہرہ خان نے اپنے ایوارڈ کوسوشل میڈیا ویب سائٹ انسٹاگرام کی اسٹوری پر شیئر بھی کیا ہے۔ اس کے ساتھ ہی اداکارہ نے اپنی خوشی کا اظہار کرتے ہوئے شکر ادا کیا۔,entertainment
5,طلاق کی خبروں کے باوجود ابھیشیک اور ایشوریا کونسی فلم میں ایک ساتھ جلوہ گر ہوں گے؟07 نومبر ، 2024,https://urdu.geo.tv/latest/385972-,بالی وڈ کی معروف جوڑی ایشوریا رائے اور ابھیشیک بچن طلاق کی خبروں کی زد میں ہیں لیکن اب حال ہی میں دونوں سے متعلق نئی تفصیل سامنے آئی ہے۔ بھارتی میڈیا رپورٹس کے مطابق اب دونوں ایک ساتھ ایک فلم میں جلوہ گر بھی ہونے جارہے ہیں، میگا اسٹارز مشہور فلم ساز منی رتنم ایک نئی ہندی فلم پر کام کر رہے ہیں جس میں اس  جوڑی کو کاسٹ کرنے کی خبریں ہیں۔ منی رتنم نے 2007 میں فلم گرو کے بعد انہیں راون میں بھی اکٹھا کاسٹ کیا تھا، اب وہ ایک اور فلم کےلیے دلچسپ کہانی تلاش کر چکے ہیں جس میں یہ جوڑی پھر نظر آئے گی۔ رپورٹس کے مطابق منی رتنم وہ شخص ہیں جنہوں نے ایشوریا اور ابھیشیک میں قربیتیں بڑھانے میں اہم کردار ادا کیا تھا، دونوں کی لوو اسٹوری کا آغاز فلم گرو کے سیٹ سے ہی ہوا تھا۔ واضح رہے کہ ابھیشیک بچن سے متعلق خبریں زیرِ گردش ہیں کہ وہ اداکارہ نمرت کور کے ساتھ رومانوی تعلقات میں ہیں جبکہ ایشوریا رائے سے ان کی علیحدگی ہو گئی ہے۔ اس حوالے سے دونوں اداکاروں کی جانب سے کسی قسم کا کوئی بیان سامنے نہیں آیا جبکہ اداکارہ نمرت کور ابھیشیک سے تعلقات کی تردید کر چکی ہیں اور کہہ چکی ہیں کہ وہ اور ابھیشیک دوست سے زیادہ کچھ نہیں ہیں۔,entertainment
6,'میرا اپنا دماغ خراب تھا'، نادیہ خان نے کم عمری میں کی گئی شادی کی وجہ بتادی07 نومبر ، 2024,https://urdu.geo.tv/latest/385943-,پاکستان شوبز انڈسٹری کی معروف میزبان و اداکارہ نادیہ خان نے کم عمر میں شادی کرنے کی وجہ بتا دی۔ نادیہ خان نے حال ہی میں پروگرام میں کم عمری میں ہونے والی اپنی پہلی شادی کے بارے میں بات کی۔ انہوں نے بتایا کہ مجھ پر والدین کی طرف سے شادی کا کوئی دباؤ نہیں تھا، اس وقت میرا اپنا ہی دماغ خراب ہو گیا تھا، میں نے خود اپنے سر اور پاؤں پر کلہاڑی ماری۔ اداکارہ نے بتایا کہ میرے والد تو میرے شادی کے فیصلے کے خلاف تھے اور ان کا کہنا تھا کہ مجھے پہلے اپنے کام پر توجہ دینی چاہیے لیکن شاید اس وقت میرے شادی کرنے کی وجہ میرے ارد گرد کا ماحول تھا۔ اُنہوں نے بتایا کہ اس وقت میں اپنے ارد گرد کے ماحول کو دیکھ کر یہ سوچنے لگی تھی کہ سب کی شادیاں ہو رہی ہیں بس میں ہی اکیلی رہ گئی ہوں، مجھے کوئی تجربہ تو تھا نہیں اس وقت کہ ضروری نہیں ہے اگر آپ کو کسی سے محبت ہو گئی ہے تو اس کے ساتھ آپ کی شادی بھی کامیاب ہوگی۔ نادیہ نےکہا کہ بس وہ شادی میری ایک ضد اور بے وقوفی تھی کیونکہ اس وقت میرا کیرئیر بہت اچھا تھا اور میں دنیا گھوم رہی تھی لیکن بس اچانک دماغ خراب ہوا تو یہ مکمل طور میری اپنی غلطی ہے کیونکہ میں اپنے والدین کی بات مان کر اس شادی سے بچ سکتی تھی۔ اداکارہ نے مزید بتایا کہ میری والدہ کو خواب میں بھی نظر آیا تھا کہ یہ شادی میرے لیے صحیح نہیں ہے، میرے والد کو میرے شادی کے فیصلے پر سب سے بڑا اعتراض یہ تھا کہ ابھی شادی کے لیے وقت صحیح نہیں ہے کیونکہ میں اس وقت صرف 20 سال کی تھی۔ نادیہ خان کا کہنا تھا کہ میں تو شادی کا لڈو کھا کر بہت عرصے تک پچھتائی ہوں لیکن شادی کے بعد سب سے خوبصورت چیز جو مجھے ملی وہ میرے بچے ہیں۔,entertainment
7,امیتابھ نہ شاہ رخ، بالی وڈ میں سب سے پہلے رولز رائس کس کے پاس تھی؟06 نومبر ، 2024,https://urdu.geo.tv/latest/385850-,رولز رائس کا شمار لگژری اور مہنگی ترین گاڑیوں میں ہوتا ہے لیکن بالی وڈ میں یہ گاڑی سب سے پہلے مشہور زمانہ اداکارہ کے پاس رہی۔ بھارتی میڈیا کے مطابق بالی وڈ  میں سب سے پہلے رولز رائس گاڑی نہ ہی امیتابھ بچن اور نہ ہی شاہ رخ خان کے پاس رہی بلکہ بالی وڈ اداکارہ نادرا وہ پہلی اداکارہ ہیں جن کے استعمال میں رولز رائس گاڑی رہی۔ میڈیا رپورٹس کے مطابق اداکارہ نادرا نے 1950 سے 1960 کی دہائی تک  بالی وڈ پر راج کیا اور انہوں نے مہنگی گاڑی بھی 1960 کی دہائی میں خریدی تھی۔ نادرا نے 11 سال کی عمر میں بطور چائلڈ آرٹسٹ فلموں سے اپنے کیرئیر کا آغاز کیا لیکن انہوں نے 1952 میں محبوب خان کی فلم سے شہرت حاصل کی۔ اس کے علاوہ شری 420 اور دل اپنا اور پریت پرائی جیسی کامیاب فلموں سے لوگوں کی توجہ حاصل کی۔ میڈیا رپورٹس کے مطابق اُس دور میں اداکار نادرا کا شمار سب سے زیادہ معاوضہ لینے والی اداکاراؤں میں ہوتا تھا حالانکہ وہ اکثر دوسری لیڈ کا کردار ادا کرتی تھیں۔,entertainment
8,ہنی سنگھ کی پاکستانی گلوکار کو کریڈٹ دیکر  سرائیکی گانا گانے کی ویڈیو وائرل06 نومبر ، 2024,https://urdu.geo.tv/latest/385820-,بالی وڈ میں پاکستانی گانوں کو ہمیشہ ہی پسند کیا جاتا ہے اور انہیں چرایا بھی جاتا ہے  جس کا پاکستانی گلوکاروں کو کوئی کریڈٹ بھی نہیں دیا جاتا۔ تاہم حال ہی میں بھارتی گلوکار و ریپر ہنی سنگھ کی ایک ویڈیو وائرل ہوئی جس میں انہیں پاکستان کی سرائیکی زبان کا مشہور گانا 'بسمہ اللہ کراں' گاتے ہوئے دیکھا گیا۔ اس دوران سب سے توجہ طلب بات یہ تھی کہ گلوکار نے حاضرین کو اس گانے کے اصل گلوکار 'ندیم عباس' کے حوالے سے بتایا اور پاکستانی گلوکار کو کریڈٹ دیتے ہوئے 'بسمہ اللہ کراں' گانا گا کر حاضرین کی داد وصول کی۔ سوشل میڈیا پر وائرل ہونے والی اس ویڈیو میں گلوکار ہنی سنگھ کا ندیم عباس کو کریڈٹ دینا مداحوں کو پسند آیا جس کی مداحوں نے تعریف بھی کی۔ واضح رہے ندیم عباس لونے والا نے 'ندیم عباس لونے والا کے اداس گانے' کے نام سے اپنی البم بنائی تھی اور 'بسمہ اللہ کراں' گانا بھی اسی البم میں شامل تھا جو 2015 میں ریلیز ہوا۔,entertainment
9,شاہ رخ، عاطف اور ہمایوں، ماہرہ خان نے تینوں اسٹارز کے بارے میں کیا بتایا؟06 نومبر ، 2024,https://urdu.geo.tv/latest/385838-,اداکارہ ماہرہ خان نے اپنے ساتھ کام کرنے والے اداکاروں کے بارے میں دلچسپ انکشاف کیا ہے۔ ماہرہ خان نے ایک چیریٹی تقریب میں شرکت کی جہاں انہوں نے میزبان کی جانب سے پوچھے گئے سوالوں کا جواب دیا۔ میزبان نے اداکارہ سے ہمایوں سعید، شاہ رخ خان، فہد مصطفیٰ اور عاطف اسلم کے حوالے سے پوچھا جس پر ماہرہ نے کہا کہ شاہ رخ ایک سپر اسٹار ہیں لیکن وہ ہمیشہ آپ کو خاص محسوس کریں گے، اگر وہ کال یا میسج پر مصروف ہیں تو وہ آپ سے بات کرنے کو یقینی بنائیں گے، یہ وہ چیز ہے جس کے بارے میں بہت سے لوگ نہیں جانتے ہیں۔ ماہرہ نے ہمایوں سعید کے بارے میں بات کرتے ہوئے انہیں بچہ قرار دیا اور کہا کہ وہ بہت نفیس شخص ہیں اور وہ دل سے بچے کی طرح ہیں۔ اداکارہ نے فہد مصطفیٰ سے شکایت کرتے ہوئے کہا کہ اداکار میں مزاح کی خشک حس ہے، وہ بریٹش حس مزاح رکھتے ہیں جس کے بارے میں بہت سے لوگ نہیں جانتے۔ ماہرہ خان نے ساتھی اداکار عاطف اسلم کے بارے میں انکشاف کیا کہ وہ ان کے ساتھ بہت روحانی تعلق رکھتی ہیں، ہم دونوں کی زیادہ بات نہیں ہوتی لیکن جب بھی عاطف بات کریں گے تو وہ اندرونی سکون اور خیریت کے بارے میں پوچھیں گے۔,entertainment
