Article IDs,Titles,Links,Contents,Gold Labels
0,سدھو موسے والا کے والدین نے اپنے چھوٹے بیٹے کا چہرا دکھا دیا08 نومبر ، 2024,https://urdu.geo.tv/latest/386103-,بھارت پنجاب سے تعلق رکھنے معروف آنجہانی گلوکار سدھو موسے والا والدین نے اپنے بیٹے کا چہرا دکھا دیا۔ بھارتی میڈیا مطابق آنجہانی گلوکار سدھو موسے والا والدین نے اپنے بیٹے کا چہرا سوشل میڈیا پلیٹ فارم انسٹاگرام سدھو موسے والا اکاؤنٹ دکھایا۔ سدھو والدین جانب سے اپنے سب سے بیٹے کا نام شبھدیپ رکھا گیا ہے، تصویر میں بچے کو ہلکے گلابی رنگ پگڑی پہنے دیکھا جاسکتا ہے۔ میڈیا رپورٹس مطابق رواں سال مارچ میں سدھو موسے والا سالہ والد بلکور سنگھ ان سالہ اہلیہ چرن کور ہاں بیٹے پیدائش تھی۔ واضح سدھو موسے والا کا اصل نام شبھدیپ سنگھ تھا جنہیں مئی کو ضلع مانسا گاؤں جواہر میں نامعلوم حملہ آوروں نے فائرنگ کرکے قتل کر دیا تھا۔ اس واقعے میں سدھو گاڑی گولیاں برسائی تھیں جس نتیجے میں سدھو موسے والا موقع ہلاک جب ان گاڑی میں موجود شدید زخمی تھے۔ سدھو موسے والا نے اپنے گانے خود لکھے تیار جب انہیں پنجابی امیر ترین گلوکاروں میں شمار کیا جاتا تھا۔,entertainment
1,گانے میں لارنس بشنوئی کا نام، گینگسٹر کا ایک بار پھر سلمان خان کو پیغام08 نومبر ، 2024,https://urdu.geo.tv/latest/386086-,بھارت بدنام زمانہ گینگ لارنس بشنوئی نے بار بالی وڈ سپر اسٹار سلمان خان نام پیغام جاری کردیا۔ بھارتی میڈیا مطابق ممبئی ٹریفک کنٹرول روم کو جمعرات کو رات دھمکی آمیز پیغام ملا جس میں گانے کا حوالہ دیا گیا تھا، گانے میں مبینہ سلمان خان گینگسٹر لارنس بشنوئی دونوں کا نام لیا گیا تھا۔ میڈیا رپورٹس میں بتایا گیا پیغام میں گانا لکھنے سانگ رائٹر کو دھمکی ماہ اندر سخت نتائج کا سامنا کرنا پڑے گا۔ دھمکی آمیز پیغام میں لکھا گیا گانا لکھنے حالت ایسی جائے وہ اب گانے نہیں لکھ سکے گا، اگر سلمان خان میں ہمت انہیں بچالیں۔ واضح لارنس بشنوئی گینگ جانب سے سلمان خان کو متعدد بار جان سے مارنے کروڑوں روپے تاوان دھمکیاں جاچکی جبکہ سلمان خان قریبی دوست سیاست دان بابا صدیق کو بھی لارنس بشنوئی گینگ نے قتل کیا۔,entertainment
2,وہ کریں جو آپ کی بیگم کہتی ہے: فلک شبیر کا شوہروں کو مشورہ08 نومبر ، 2024,https://urdu.geo.tv/latest/386083-,اداکارہ سارہ خان شوہر گلوکار فلک شبیر نے شوہروں کو خوش رہنے بیگم بات عمل کرنے کا مشورہ دیا۔ فلک شبیر سارہ خان نے جولائی میں شادی دونوں اب بیٹی عالیانہ فلک ہے۔ فلک شبیر سارہ خان سے محبت اس اظہار نت نئے خاطر مداحوں میں خاصے مقبول ہیں، وہ اکثرو بیشتر اہلیہ سے اپنی محبت کا اظہار کرنے لیے خوبصورت تحائف جس ویڈیوز بھی سامنے آتی رہتی ہیں۔ حال میں فلک شبیر نے انسٹاگرام اسٹوری شیئر شوہروں کو خوش رہنے نرالا مشورہ دیا ہے۔ انسٹاگرام شیئر گلوکار فلک شبیر اسٹوری درج تھا اگر آپ خوش رہنا چاہتے پہلے اپنے دل سنیں دماغ سنیں، طرح غوروفکر کرنے بعد وہ جو آپ بیگم ہے۔ یاد رواں برس فلک شبیر نے اداکارہ سارہ خان بیٹی عالیانہ فلک کو فارم ہاؤس مرسڈیز بینز تحفے میں ہے۔,entertainment
3,سلمان کے بعد شاہ رخ خان کو بھی جان سے مارنےکی دھمکی07 نومبر ، 2024,https://urdu.geo.tv/latest/385991-,ممبئی بالی وڈ اداکار سلمان خان بعد اب کنگ خان کہلائے جانے شاہ رخ خان کو بھی جان سے مارنےکی دھمکی ملی ہے۔ بھارت میڈیا مطابق ممبئی باندرا پولیس اسٹیشن میں کال موصول فون کرنے نے شاہ رخ خان سے لاکھ تاوان مانگا جب عدم ادائیگی میں بالی وڈ خان کو نقصان پہنچانے دھمکی دی۔ رپورٹ مطابق پولیس کو موصول فون ریاست چھتیس گڑھ شہر رائے پور سے کیا گیا ٹریس کرنے بعد نمبر فیضان نامی شخص کا نکلا مگر مبینہ ملزم نے کہا اس کا فون نومبر کو چوری ہوگیا تھا۔ بھارتی میڈیاکےمطابق شاہ رخ خان سے متعلق دھمکی آمیز کال موصول ہونے کا مقدمہ باندرا پولیس اسٹیشن میں درج کرلیا گیا مزید تحقیقات جاری ہیں۔ ریاست مہاراشٹرا حکومت نے شاہ رخ خان کو کیٹیگری سکیورٹی فراہم کردی ہے۔ واضح گزشتہ سال اکتوبر میں فلم پٹھان جوان کامیابی بعد بھی شاہ رخ کو جان سے مارنے دھمکیاں ملی تھیں جس بعد انھیں وائی پلس سکیورٹی تھی۔ دوسری جانب سلمان خان کو دھمکی دینے والا لارنس بشنوئی کا بھائی کرناٹک سے گرفتار کرلیاگیا۔ بھارتی میڈیا کےمطابق ممبئی پولیس ٹریفک کنٹرول کو نومبر کو سلمان خان لیے دھمکی آمیزپیغام موصول ہواتھا جس میں سلمان خان سے کروڑ روپےطلب عدم ادائیگی میں قتل کرنے دھمکی تھی۔,entertainment
4,برطانوی پارلیمنٹ نے ماہرہ خان کو لائف ٹائم اچیومنٹ ایوارڈ سے نواز دیا07 نومبر ، 2024,https://urdu.geo.tv/latest/385956-,برطانیہ پارلیمنٹ نے اداکارہ ماہرہ خان کو فنی خواتین کو بااختیار بنانے خدمات ایوارڈ سے نواز دیا۔ اداکارہ ماہرہ خان انٹرٹینمنٹ انڈسٹری خواتین کو با اختیار بنانے جانے والی کاوشوں کو برطانیہ پارلیمنٹ جانب سے سراہا گیا انہیں پارلیمنٹ میں لائف ٹائم اچیومنٹ ایوارڈ سے نواز دیا گیا۔ اس حوالے سے اداکارہ نے کہا اپنی تعریف خوش لیکن سیلف میڈ کہلانا پسند نہیں، میری کامیابی میں والدین، ٹیچرز، مینٹور، ساتھیوں مداحوں کا بڑا کردار ہے۔ اداکارہ کا کہنا تھاکہ والدین ورکنگ پیرنٹس تھے، والدہ ٹیچر والد بینکر جنہوں نے بچوں کو اعلیٰ تعلیم دلانے پوری توجہ دی، کالج آسان وقت نہیں تھا، ملازمت اپنے بل خود ادا تھی۔ ماہرہ خان نے مزید کہا جب میں فلم اسٹار بنوں مجھ ہنستے تھے، انڈسٹری میں کام کرنا آسان نہیں تھا لیکن جدوجہد بعد کامیابی بھی ملی، خاندان لڑکی جس نے بیرون ملک سفر کیا۔ انڈسٹری حوالے سے بات انہوں نے کہا پاکستان شو بز انڈسٹری نے گزشتہ چند برسوں میں نمایاں ترقی ہے، خواتین کو بااختیار بنانے میری خدمات ایوارڈ سے نوازے جانے بہت خوش ہوں، ہمارا انتخاب ہمیں اس مطابق کام کرنا چاہیے، لڑکیوں کو ان خواب پورے کرنے میں مدد کرنی چاہیے۔ ماہرہ کا کہنا تھا لڑکیوں سے برتاؤ سے متعلق والد، شوہر، لڑکوں تمام مردوں کو بتانا چاہیے، میرے بھائی نے خاموشی سے میری زندگی کامیابی میں اہم کردار ادا کیا۔ اس موقع تقریب منتظم افضل خان ایم پی نے اپنے خیالات کا اظہار کہا ماہرہ خان کامیابی دیگر خواتین مشعل راہ ہے۔ اداکارہ ماہرہ خان نے اپنے ایوارڈ کوسوشل میڈیا ویب سائٹ انسٹاگرام اسٹوری شیئر بھی کیا ہے۔ اس ساتھ اداکارہ نے اپنی خوشی کا اظہار شکر ادا کیا۔,entertainment
5,طلاق کی خبروں کے باوجود ابھیشیک اور ایشوریا کونسی فلم میں ایک ساتھ جلوہ گر ہوں گے؟07 نومبر ، 2024,https://urdu.geo.tv/latest/385972-,بالی وڈ معروف جوڑی ایشوریا رائے ابھیشیک بچن طلاق خبروں زد میں لیکن اب حال میں دونوں سے متعلق نئی تفصیل سامنے آئی ہے۔ بھارتی میڈیا رپورٹس مطابق اب دونوں ساتھ فلم میں جلوہ گر بھی ہونے جارہے ہیں، میگا اسٹارز مشہور فلم ساز منی رتنم نئی ہندی فلم کام کر جس میں اس جوڑی کو کاسٹ کرنے خبریں ہیں۔ منی رتنم نے میں فلم گرو بعد انہیں راون میں بھی اکٹھا کاسٹ کیا تھا، اب وہ فلم کےلیے دلچسپ کہانی تلاش کر جس میں جوڑی نظر گی۔ رپورٹس مطابق منی رتنم وہ شخص جنہوں نے ایشوریا ابھیشیک میں قربیتیں بڑھانے میں اہم کردار ادا کیا تھا، دونوں لوو اسٹوری کا آغاز فلم گرو سیٹ سے تھا۔ واضح ابھیشیک بچن سے متعلق خبریں زیرِ گردش وہ اداکارہ نمرت کور ساتھ رومانوی تعلقات میں جبکہ ایشوریا رائے سے ان علیحدگی ہے۔ اس حوالے سے دونوں اداکاروں جانب سے کسی قسم کا بیان سامنے نہیں آیا جبکہ اداکارہ نمرت کور ابھیشیک سے تعلقات تردید کر کہہ وہ ابھیشیک دوست سے زیادہ کچھ نہیں ہیں۔,entertainment
6,'میرا اپنا دماغ خراب تھا'، نادیہ خان نے کم عمری میں کی گئی شادی کی وجہ بتادی07 نومبر ، 2024,https://urdu.geo.tv/latest/385943-,پاکستان شوبز انڈسٹری معروف میزبان اداکارہ نادیہ خان نے کم عمر میں شادی کرنے وجہ بتا دی۔ نادیہ خان نے حال میں پروگرام میں کم عمری میں ہونے والی اپنی شادی بارے میں بات کی۔ انہوں نے بتایا مجھ والدین سے شادی کا دباؤ نہیں تھا، اس وقت میرا اپنا دماغ خراب گیا تھا، میں نے خود اپنے سر پاؤں کلہاڑی ماری۔ اداکارہ نے بتایا میرے والد میرے شادی فیصلے خلاف ان کا کہنا تھا مجھے پہلے اپنے کام توجہ دینی چاہیے لیکن شاید اس وقت میرے شادی کرنے وجہ میرے کا ماحول تھا۔ اُنہوں نے بتایا اس وقت میں اپنے ماحول کو دیکھ کر سوچنے سب شادیاں بس میں رہ ہوں، مجھے تجربہ تھا نہیں اس وقت نہیں اگر آپ کو کسی سے محبت اس ساتھ آپ شادی بھی کامیاب ہوگی۔ نادیہ نےکہا بس وہ شادی میری ضد بے وقوفی کیونکہ اس وقت میرا کیرئیر بہت اچھا تھا میں دنیا گھوم لیکن بس اچانک دماغ خراب مکمل میری اپنی غلطی کیونکہ میں اپنے والدین بات مان کر اس شادی سے بچ سکتی تھی۔ اداکارہ نے مزید بتایا میری والدہ کو خواب میں بھی نظر آیا تھا شادی میرے لیے صحیح نہیں ہے، میرے والد کو میرے شادی فیصلے سب سے بڑا اعتراض تھا ابھی شادی لیے وقت صحیح نہیں کیونکہ میں اس وقت صرف سال تھی۔ نادیہ خان کا کہنا تھا میں شادی کا لڈو کھا کر بہت عرصے پچھتائی لیکن شادی بعد سب سے خوبصورت چیز جو مجھے ملی وہ میرے بچے ہیں۔,entertainment
7,امیتابھ نہ شاہ رخ، بالی وڈ میں سب سے پہلے رولز رائس کس کے پاس تھی؟06 نومبر ، 2024,https://urdu.geo.tv/latest/385850-,رولز رائس کا شمار لگژری مہنگی ترین گاڑیوں میں ہوتا لیکن بالی وڈ میں گاڑی سب سے پہلے مشہور زمانہ اداکارہ پاس رہی۔ بھارتی میڈیا مطابق بالی وڈ میں سب سے پہلے رولز رائس گاڑی نہ امیتابھ بچن نہ شاہ رخ خان پاس بلکہ بالی وڈ اداکارہ نادرا وہ اداکارہ جن استعمال میں رولز رائس گاڑی رہی۔ میڈیا رپورٹس مطابق اداکارہ نادرا نے سے دہائی بالی وڈ راج کیا انہوں نے مہنگی گاڑی بھی دہائی میں خریدی تھی۔ نادرا نے سال عمر میں بطور چائلڈ آرٹسٹ فلموں سے اپنے کیرئیر کا آغاز کیا لیکن انہوں نے میں محبوب خان فلم سے شہرت حاصل کی۔ اس علاوہ شری دل اپنا پریت پرائی جیسی کامیاب فلموں سے توجہ حاصل کی۔ میڈیا رپورٹس مطابق اُس میں اداکار نادرا کا شمار سب سے زیادہ معاوضہ لینے والی اداکاراؤں میں ہوتا تھا حالانکہ وہ دوسری لیڈ کا کردار ادا تھیں۔,entertainment
8,ہنی سنگھ کی پاکستانی گلوکار کو کریڈٹ دیکر  سرائیکی گانا گانے کی ویڈیو وائرل06 نومبر ، 2024,https://urdu.geo.tv/latest/385820-,بالی وڈ میں پاکستانی گانوں کو ہمیشہ پسند کیا جاتا انہیں چرایا بھی جاتا جس کا پاکستانی گلوکاروں کو کریڈٹ بھی نہیں دیا جاتا۔ تاہم حال میں بھارتی گلوکار ریپر ہنی سنگھ ویڈیو وائرل جس میں انہیں پاکستان سرائیکی زبان کا مشہور گانا بسمہ اللہ کراں گاتے دیکھا گیا۔ اس دوران سب سے توجہ طلب بات گلوکار نے حاضرین کو اس گانے اصل گلوکار ندیم عباس حوالے سے بتایا پاکستانی گلوکار کو کریڈٹ بسمہ اللہ کراں گانا گا کر حاضرین داد وصول کی۔ سوشل میڈیا وائرل ہونے والی اس ویڈیو میں گلوکار ہنی سنگھ کا ندیم عباس کو کریڈٹ دینا مداحوں کو پسند آیا جس مداحوں نے تعریف بھی کی۔ واضح ندیم عباس لونے والا نے ندیم عباس لونے والا اداس گانے نام سے اپنی البم بنائی بسمہ اللہ کراں گانا بھی اسی البم میں شامل تھا جو میں ریلیز ہوا۔,entertainment
9,شاہ رخ، عاطف اور ہمایوں، ماہرہ خان نے تینوں اسٹارز کے بارے میں کیا بتایا؟06 نومبر ، 2024,https://urdu.geo.tv/latest/385838-,اداکارہ ماہرہ خان نے اپنے ساتھ کام کرنے اداکاروں بارے میں دلچسپ انکشاف کیا ہے۔ ماہرہ خان نے چیریٹی تقریب میں شرکت جہاں انہوں نے میزبان جانب سے پوچھے سوالوں کا جواب دیا۔ میزبان نے اداکارہ سے ہمایوں سعید، شاہ رخ خان، فہد مصطفیٰ عاطف اسلم حوالے سے پوچھا جس ماہرہ نے کہا شاہ رخ سپر اسٹار لیکن وہ ہمیشہ آپ کو خاص محسوس گے، اگر وہ کال یا میسج مصروف وہ آپ سے بات کرنے کو یقینی بنائیں گے، وہ چیز جس بارے میں بہت سے نہیں جانتے ہیں۔ ماہرہ نے ہمایوں سعید بارے میں بات انہیں بچہ قرار دیا کہا وہ بہت نفیس شخص وہ دل سے بچے طرح ہیں۔ اداکارہ نے فہد مصطفیٰ سے شکایت کہا اداکار میں مزاح خشک حس ہے، وہ بریٹش حس مزاح جس بارے میں بہت سے نہیں جانتے۔ ماہرہ خان نے ساتھی اداکار عاطف اسلم بارے میں انکشاف کیا وہ ان ساتھ بہت روحانی تعلق ہیں، ہم دونوں زیادہ بات نہیں لیکن جب بھی عاطف بات وہ اندرونی سکون خیریت بارے میں گے۔,entertainment
